PARAMETER,YEAR,LAT,LON, IRRAD [kW-hr/m^2/day]
ALLSKY_SFC_SW_DWN,1987,21.25,-160.75,5.74
ALLSKY_SFC_SW_DWN,1987,21.75,-154.75,5.56
ALLSKY_SFC_SW_DWN,1987,21.75,-155.25,5.56
ALLSKY_SFC_SW_DWN,1987,21.75,-155.75,5.56
ALLSKY_SFC_SW_DWN,1987,21.75,-156.25,5.57
ALLSKY_SFC_SW_DWN,1987,21.75,-156.75,5.57
ALLSKY_SFC_SW_DWN,1987,21.75,-157.25,5.52
ALLSKY_SFC_SW_DWN,1987,21.75,-157.75,5.52
ALLSKY_SFC_SW_DWN,1987,21.75,-158.25,5.78
ALLSKY_SFC_SW_DWN,1987,21.75,-158.75,5.78
ALLSKY_SFC_SW_DWN,1987,21.75,-159.25,5.74
ALLSKY_SFC_SW_DWN,1987,21.75,-159.75,5.74
ALLSKY_SFC_SW_DWN,1987,21.75,-160.25,5.74
ALLSKY_SFC_SW_DWN,1987,21.75,-160.75,5.74
ALLSKY_SFC_SW_DWN,1987,22.25,-154.75,5.49
ALLSKY_SFC_SW_DWN,1987,22.25,-155.25,5.5
ALLSKY_SFC_SW_DWN,1987,22.25,-155.75,5.5
ALLSKY_SFC_SW_DWN,1987,22.25,-156.25,5.55
ALLSKY_SFC_SW_DWN,1987,22.25,-156.75,5.55
ALLSKY_SFC_SW_DWN,1987,22.25,-157.25,5.62
ALLSKY_SFC_SW_DWN,1987,22.25,-157.75,5.62
ALLSKY_SFC_SW_DWN,1987,22.25,-158.25,5.62
ALLSKY_SFC_SW_DWN,1987,22.25,-158.75,5.62
ALLSKY_SFC_SW_DWN,1987,22.25,-159.25,5.61
ALLSKY_SFC_SW_DWN,1987,22.25,-159.75,5.61
ALLSKY_SFC_SW_DWN,1987,22.25,-160.25,5.66
ALLSKY_SFC_SW_DWN,1987,22.25,-160.75,5.66
ALLSKY_SFC_SW_DWN,1988,19.25,-154.75,5.67
ALLSKY_SFC_SW_DWN,1988,19.25,-155.25,5.41
ALLSKY_SFC_SW_DWN,1988,19.25,-155.75,5.41
ALLSKY_SFC_SW_DWN,1988,19.25,-156.25,5.96
ALLSKY_SFC_SW_DWN,1988,19.25,-156.75,5.96
ALLSKY_SFC_SW_DWN,1988,19.25,-157.25,5.7
ALLSKY_SFC_SW_DWN,1988,19.25,-157.75,5.7
ALLSKY_SFC_SW_DWN,1988,19.25,-158.25,5.68
ALLSKY_SFC_SW_DWN,1988,19.25,-158.75,5.68
